centroid,NAME
"-99.79539469202712, 41.53686254419163",Nebraska
"-120.44889884535478, 47.380052811996165",Washington
"-106.11490482754202, 34.40558959255615",New Mexico
"-100.23095687072323, 44.445035486391475",South Dakota
"-85.30436580234273, 37.53254902629379",Kentucky
"-83.43604790087274, 32.638440174391945",Georgia
"-92.44395213545731, 34.89575634894171",Arkansas
"-77.7970842991185, 40.87838418662337",Pennsylvania
"-89.6714270194224, 32.73396839435727",Mississippi
"-105.54648465419724, 38.995408490468215",Colorado
"-111.67024530952759, 39.30679057908391",Utah
"-86.35501388997558, 35.855711028178995",Tennessee
"-107.55040615191193, 42.99561984781585",Wyoming
"-86.28158250924623, 39.89735083787946",Indiana
"-152.2418805923528, 63.98414365912498",Alaska
"-116.63194804737583, 39.32960683355266",Nevada
"-89.19898711702373, 40.04079558406674",Illinois
"-72.6649507502435, 44.07215197191291",Vermont
"-109.63757977396983, 47.05289696551131",Montana
"-93.49758794446619, 42.07304726195378",Iowa
"-80.88853701499333, 33.90435035315517",South Carolina
"-111.66122108158117, 34.27472056511902",Arizona
"-82.79307639689338, 40.285802538761445",Ohio
"-86.83028311252356, 32.77800218070504",Alabama
"-89.99555197537282, 44.622755562584786",Wisconsin
"-120.5644628586864, 43.93378861444418",Oregon
"-92.45803262918288, 38.35609872966517",Missouri
"-79.3690111938252, 35.55181932046746",North Carolina
"-97.49168462309581, 35.58843223286039",Oklahoma
"-78.81733048867751, 37.518530529602884",Virginia
"-80.62524035609546, 38.636948116696615",West Virginia
"-91.97898777649881, 31.052202528283612",Louisiana
"-85.3787210524151, 44.315710506971094",Michigan
"-71.8116786779658, 42.259776635589965",Massachusetts
"-114.61410919728002, 44.35092101080964",Idaho
"-82.46005166290509, 28.618546030086762",Florida
"-98.38058210167969, 38.49222122505372",Kansas
"-71.58124187922301, 43.67366957371151",New Hampshire
"-75.50237949560903, 38.99191820454577",Delaware
"-99.3240299771021, 31.46377950843479",Texas
"-94.30783225314605, 46.281026792988065",Minnesota
"-72.72067225260118, 41.620611376438085",Connecticut
"-74.66667888024737, 40.174056336424066",New Jersey
"-100.47250239153291, 47.451536727005085",North Dakota
"-76.76172636575573, 39.03753466942397",Maryland
"-69.243897171213, 45.36370503960548",Maine
"-156.34135219064694, 20.24112558878323",Hawaii
"-71.55666061900365, 41.688877523638205",Rhode Island
"-119.47263290780361, 37.18208500091823",California
"-75.50742003129189, 42.936292322587285",New York
"-77.01780823246415, 38.89828062641602",District of Columbia
